номер образца,выигрыш ppm,ppm. без корр. LP,ppm. с корр. LP,ppm. без корр. INT,ppm. с корр. INT,коэфф. без корр. LP,коэфф. с корр. LP,коэфф. без корр. INT,коэфф. с корр. INT
4,0.0,0.3007063227847843,0.3007063227847843,0.3007063227847843,0.3007063227847843, 38 16 45 32 23 26 12 0 15 0 7, 38 16 45 32 23 26 12 0 15 0 7, 38 16 45 32 23 26 12 0 15 0 7, 38 16 45 32 23 26 12 0 15 0 7
5,0.0,0.4201405616334543,0.4201405616334543,0.4201405616334543,0.4201405616334543, 23 16 36 1 23 5 15 0 15 0 7, 23 16 36 1 23 5 15 0 15 0 7, 23 16 36 1 23 5 15 0 15 0 7, 23 16 36 1 23 5 15 0 15 0 7
6,0.0,0.5510651365303721,0.5510651365303721,0.5510651365303721,0.5510651365303721, 21 18 15 0 15 1 13 0 15 0 7, 21 18 15 0 15 1 13 0 15 0 7, 21 18 15 0 15 1 13 0 15 0 7, 21 18 15 0 15 1 13 0 15 0 7
9,0.0,0.3981947016228512,0.3981947016228512,0.3981947016228512,0.3981947016228512, 16 19 55 1 17 0 12 0 15 0 7, 16 19 55 1 17 0 12 0 15 0 7, 16 19 55 1 17 0 12 0 15 0 7, 16 19 55 1 17 0 12 0 15 0 7
10,0.0,0.2893122108528477,0.2893122108528477,0.2893122108528477,0.2893122108528477, 39 16 30 24 23 31 13 0 10 0 7, 39 16 30 24 23 31 13 0 10 0 7, 39 16 30 24 23 31 13 0 10 0 7, 39 16 30 24 23 31 13 0 10 0 7
11,0.0,0.32100092950846304,0.32100092950846304,0.32100092950846304,0.32100092950846304, 18 18 77 15 21 8 12 0 15 0 7, 18 18 77 15 21 8 12 0 15 0 7, 18 18 77 15 21 8 12 0 15 0 7, 18 18 77 15 21 8 12 0 15 0 7
13,0.0,0.29796689409778493,0.29796689409778493,0.29796689409778493,0.29796689409778493, 43 24 29 40 8 28 5 0 13 0 7, 43 24 29 40 8 28 5 0 13 0 7, 43 24 29 40 8 28 5 0 13 0 7, 43 24 29 40 8 28 5 0 13 0 7
14,0.0,0.6184844321231939,0.6184844321231939,0.6184844321231939,0.6184844321231939, 7 22 21 0 12 0 9 0 15 0 7, 7 22 21 0 12 0 9 0 15 0 7, 7 22 21 0 12 0 9 0 15 0 7, 7 22 21 0 12 0 9 0 15 0 7
15,0.0,0.28332363409527883,0.28332363409527883,0.28332363409527883,0.28332363409527883, 41 19 7 9 17 31 8 0 13 0 7, 41 19 7 9 17 31 8 0 13 0 7, 41 19 7 9 17 31 8 0 13 0 7, 41 19 7 9 17 31 8 0 13 0 7
16,0.0,0.33280654328664144,0.33280654328664144,0.33280654328664144,0.33280654328664144, 17 18 42 2 17 12 12 0 14 0 7, 17 18 42 2 17 12 12 0 14 0 7, 17 18 42 2 17 12 12 0 14 0 7, 17 18 42 2 17 12 12 0 14 0 7
20,0.0,0.33098939733196514,0.33098939733196514,0.33098939733196514,0.33098939733196514, 26 17 70 21 18 8 13 0 15 0 7, 26 17 70 21 18 8 13 0 15 0 7, 26 17 70 21 18 8 13 0 15 0 7, 26 17 70 21 18 8 13 0 15 0 7
21,0.0,499961.6045547831,499961.6045547831,499961.6045547831,499961.6045547831, 0 31 1 127 31 31 15 0 0 0 7, 0 31 1 127 31 31 15 0 0 0 7, 0 31 1 127 31 31 15 0 0 0 7, 0 31 1 127 31 31 15 0 0 0 7
23,-0.0018448052338537746,1.4690398287298057,1.4708846339636594,,1.4708846339636594, 0 31 14 1 11 0 5 0 0 0 7, 0 31 14 1 11 0 5 0 0 0 7,, 0 31 14 1 11 0 5 0 15 0 7
25,0.0,0.31931846059856767,0.31931846059856767,,0.31931846059856767, 35 18 62 49 20 28 11 0 0 0 7, 35 18 62 49 20 28 11 0 0 0 7,, 35 18 62 49 20 28 11 0 15 0 7
27,0.0,499956.4365817768,499956.4365817768,,499956.4365817768, 0 31 2 127 31 22 0 0 0 0 7, 0 31 2 127 31 22 0 0 0 0 7,, 14 30 62 125 29 25 13 0 0 0 7
28,0.0011487774164701259,0.2892028757838088,0.2880540983673387,,0.2880540983673387, 26 15 67 31 25 24 15 0 14 0 7, 26 15 67 31 25 24 15 0 14 0 7,, 26 15 67 31 25 24 15 0 14 0 7
29,0.0,2.2548532713970175,2.2548532713970175,,2.2548532713970175, 6 31 5 0 10 0 5 0 0 0 7, 6 31 5 0 10 0 5 0 0 0 7,, 6 31 5 0 10 0 5 0 15 0 7
34,0.0,1.549698343799367,1.549698343799367,,1.549698343799367, 16 18 1 14 31 8 15 0 0 0 7, 16 18 1 14 31 8 15 0 0 0 7,, 16 18 1 14 31 8 15 0 11 0 7
37,0.0,0.376489356665017,0.376489356665017,,0.376489356665017, 31 16 39 0 22 10 13 0 15 0 7, 31 16 39 0 22 10 13 0 15 0 7,, 31 16 39 0 22 10 13 0 15 0 7
41,0.0,0.46832553445861824,0.46832553445861824,,0.46832553445861824, 13 21 52 0 17 1 9 0 15 0 7, 13 21 52 0 17 1 9 0 15 0 7,, 13 21 52 0 17 1 9 0 15 0 7
42,-0.0022779749225110835,0.29433222957622035,0.29661020449873143,,0.29661020449873143, 24 15 68 12 26 8 14 0 15 0 7, 24 20 44 5 13 15 7 0 0 0 7,, 24 20 44 5 13 15 7 0 15 0 7
46,0.0,0.3029825290020146,0.3029825290020146,,0.3029825290020146, 23 21 38 8 12 18 7 0 15 0 7, 23 21 38 8 12 18 7 0 15 0 7,, 23 21 38 8 12 18 7 0 15 0 7
47,0.0,0.3261666514011665,0.3261666514011665,,0.3261666514011665, 41 16 77 78 23 24 15 0 15 0 7, 41 16 77 78 23 24 15 0 15 0 7,, 41 16 77 78 23 24 15 0 15 0 7
