номер образца,выигрыш ppm,ppm. без корр. LP,ppm. с корр. LP,ppm. без корр. INT,ppm. с корр. INT,коэфф. без корр. LP,коэфф. с корр. LP,коэфф. без корр. INT,коэфф. с корр. INT
2,0.0,1.5943743157078956,1.5943743157078956,,, 31 19 105 74 2 3 7 0 3 0 7, 31 19 105 74 2 3 7 0 3 0 7,,
3,0.0,1.050167390975496,1.050167390975496,,, 58 15 107 122 0 27 14 0 9 0 7, 58 15 107 122 0 27 14 0 9 0 7,,
11,-0.0024202974214146966,1.2413891705080815,1.2438094679294962,,, 63 15 57 91 0 31 13 0 6 0 7, 63 15 57 91 0 31 13 0 6 0 7,,
12,0.0,1.0536908162212322,1.0536908162212322,,, 30 17 89 71 2 4 7 0 2 0 7, 30 17 89 71 2 4 7 0 2 0 7,,
15,0.0,1.7874082362139787,1.7874082362139787,,, 29 16 78 77 0 1 11 0 1 0 7, 29 16 78 77 0 1 11 0 1 0 7,,
16,0.0,1.0714993433278746,1.0714993433278746,,, 58 14 71 86 2 31 15 0 4 0 7, 58 14 71 86 2 31 15 0 4 0 7,,
22,-0.02284504082394534,1.183571578453321,1.2064166192772663,,, 23 15 106 49 4 2 12 0 3 0 7, 22 14 108 44 4 3 13 0 0 0 7,,
23,0.0,1.0400558153619728,1.0400558153619728,,, 36 15 114 78 0 11 13 0 2 0 7, 36 15 114 78 0 11 13 0 2 0 7,,
24,0.0,0.789639739441486,0.789639739441486,,, 51 15 108 87 2 20 12 0 9 0 7, 51 15 108 87 2 20 12 0 9 0 7,,
28,0.0,1.160622667326499,1.160622667326499,,, 54 19 59 55 0 31 7 0 0 0 7, 54 19 59 55 0 31 7 0 0 0 7,,
