номер образца,выигрыш ppm,ppm. без корр. LP,ppm. с корр. LP,ppm. без корр. INT,ppm. с корр. INT,коэфф. без корр. LP,коэфф. с корр. LP,коэфф. без корр. INT,коэфф. с корр. INT
1,0.0,0.7817159327419865,0.7817159327419865,,0.7817159327419865, 44 12 128 92 17 11 14 0 5 0 7, 44 12 128 92 17 11 14 0 5 0 7,, 44 12 128 92 17 11 14 0 5 0 7
3,-0.014681776428808746,1.4262924841885516,1.4409742606173603,,, 18 21 105 73 1 2 7 0 10 0 7, 18 21 105 73 1 2 7 0 10 0 7,,
6,0.0,0.7010971263076112,0.7010971263076112,,, 22 16 142 62 12 4 8 0 13 0 7, 22 16 142 62 12 4 8 0 13 0 7,,
9,0.0,0.9644485879048836,0.9644485879048836,,, 28 19 136 84 4 7 6 0 11 0 7, 28 19 136 84 4 7 6 0 11 0 7,,
10,0.0,0.9452467398243412,0.9452467398243412,,, 52 18 43 51 2 28 6 0 1 0 7, 52 18 43 51 2 28 6 0 1 0 7,,
11,0.0,0.7260904908487003,0.7260904908487003,,, 32 14 109 48 12 12 13 0 13 0 7, 32 14 109 48 12 12 13 0 13 0 7,,
12,0.0,1.098080140642909,1.098080140642909,,, 59 20 57 74 1 30 6 0 5 0 7, 59 20 57 74 1 30 6 0 5 0 7,,
13,0.0,0.8576840881587839,0.8576840881587839,,, 48 14 107 124 6 30 15 0 0 0 7, 48 14 107 124 6 30 15 0 0 0 7,,
14,0.0,0.8569358901171271,0.8569358901171271,,, 43 15 111 77 1 18 15 0 14 0 7, 43 15 111 77 1 18 15 0 14 0 7,,
15,-0.005782727112537911,1.1012615203200342,1.1070442474325721,,, 55 13 107 123 2 23 14 0 0 0 7, 55 13 106 126 0 22 15 0 2 0 7,,
17,0.0,0.7113228117950385,0.7113228117950385,,, 45 14 127 96 9 24 13 0 0 0 7, 45 14 127 96 9 24 13 0 0 0 7,,
19,0.0,0.8145315438230346,0.8145315438230346,,, 56 18 84 84 2 27 7 0 2 0 7, 56 18 84 84 2 27 7 0 2 0 7,,
21,0.0,0.7633777752792046,0.7633777752792046,,, 37 16 119 75 4 8 9 0 14 0 7, 37 16 119 75 4 8 9 0 14 0 7,,
23,0.0,0.8680847691382064,0.8680847691382064,,, 25 16 152 71 12 2 10 0 15 0 7, 25 16 152 71 12 2 10 0 15 0 7,,
24,0.0,1.048621638415154,1.048621638415154,,, 11 20 102 20 8 11 4 0 15 0 7, 11 20 102 20 8 11 4 0 15 0 7,,
25,0.0,1.0462063102155876,1.0462063102155876,,, 30 16 129 82 5 4 12 0 15 0 7, 30 16 129 82 5 4 12 0 15 0 7,,
26,0.0,0.8792118215500332,0.8792118215500332,,, 33 21 79 35 2 15 4 0 15 0 7, 33 21 79 35 2 15 4 0 15 0 7,,
27,0.0,0.9141412555379491,0.9141412555379491,,, 58 14 129 126 1 19 11 0 0 0 7, 58 14 129 126 1 19 11 0 0 0 7,,
